Name,global_score
Maximiliano Romero,1.2192623121456818
Tim Kleindienst,1.2185638451701895
Simon Terodde,1.2180355922656543
Jonathan Calleri,1.2177855247847844
Serdar Dursun,1.2158994189325543
Mikael Uhre,1.2150389004394715
àscar Estupi¤ n,1.2148050432253759
Ercan Kara,1.2147231409953576
Erik Shuranov,1.213846017199748
Frank Tsadjout,1.2129385312120897
Fer Ni¤o,1.2123781148297523
Ben Malango,1.2106812804232576
Kacper Przyby?ko,1.2106385988679313
Alan Kardec,1.2103161829419793
Mateo Cassierra,1.2099393833184608
Paulinho1,1.2098508821213607
Leonardo Pavoletti,1.2095517807192517
Rodrigo Pinho,1.2095504515444198
Troy Deeney,1.209284487011245
Muhammet Demir,1.2092783727603584
Nikola Kalini?,1.2083346780369308
Christian Gytkjr,1.208166635215449
Youssouph Badji,1.206261474270367
Bradley Grobler,1.2060535226676234
Asier Villalibre,1.205048237127893
Thiago1,1.2049965860847682
Juan Fernando Caicedo,1.2045325017497204
Michael Rangel,1.2033086542757327
Juli n Carranza,1.2023580959546474
Jefferson Duque,1.2007904667378222
Wilfried Kanga,1.2006824885684957
Cheick Diabat,1.1993226948459081
Henry Mart¡n,1.1992381371751355
El Bilal Tour,1.1980172571534389
Mattia Destro,1.196529608718855
Alex Valera,1.1964123269818496
Stphane Bahoken,1.1963380129595933
Andra? ?porar,1.194259957773423
George Hirst,1.1936515099865272
J£nior NegrÆo,1.1935796244663355
Gianluca Lapadula,1.1935645469828993
Gamid Agalarov,1.1907441331741089
Islam Slimani,1.1903102132617116
Brenner,1.1900726429229658
Lucas Cavallini,1.188890188022
Vladyslav Supriaha,1.1888201570811172
Florian Niederlechner,1.1874082374632562
Stefan Kutschke,1.1862197111358017
Artem Dzyuba,1.1859564481703762
Mame Diouf,1.1858065948698209
Z Lu¡s,1.1851784357502801
Rushian Hepburn-Murphy,1.184818445876785
Daryl Dike,1.1845505763723638
Luis Carlos Ruiz,1.184020349564903
Mbaye Diagne,1.1836748555460295
Alfredo Morelos,1.1814408047983158
Thomas Henry,1.1807204137140141
Diego Chur¡n,1.1795420829250656
Enrique Triverio,1.179417573779862
Emmanuel Gigliotti,1.1786753282328994
Guy Mbenza,1.1758255742435377
Jaros?aw Niezgoda,1.1733987350034414
Jean-David Beauguel,1.173255979216242
Luis Su rez1,1.1731852970003966
Andrea La Mantia,1.1722965870106616
Milan ?uri?,1.1713880115889794
Lois Openda,1.1712534190550348
Alo¡sio,1.1680639650260125
µngel,1.1672195107782755
Rmulo Cardoso,1.1661865525120148
Andreas Cornelius,1.1660861851582915
Kieffer Moore,1.1656353982654444
Stanislav Tecl,1.1635978959908084
Junior Moraes,1.162852339171566
Enric Gallego,1.1620735761653136
Marvin Ducksch,1.1619598198517405
Wilson Morelo,1.1582236358161861
Leandro D¡az,1.15796276993806
Adem¡lson,1.156742061870101
Sebastian Polter,1.1567261263239552
Arthur Cabral,1.1565669240796475
Michal Frey,1.1561850614443356
Chuba Akpom,1.1560941842076102
Fernando Uribe,1.156083392196832
Kevin Gameiro,1.1544952717898473
Pietro Pellegri,1.1538651842528114
Stefano Okaka,1.1502476763571996
Umut Bozok,1.149048295882034
Alexandr Sobolev,1.1481684068142848
Michael Obafemi,1.1475120559502148
Lo Bonatini,1.1451114102160322
Rafael Santos Borr,1.140204091909878
Kaio Jorge,1.137429716997364
Olmes Garc¡a,1.1354716878236983
Csar Arias,1.1347877023551232
Karol ?widerski,1.1344487051415526
Romano Postema,1.1336026079577268
Hwang Ui-Jo,1.133596825016331
Silvio Romero,1.1322732875781543
Roberto Inglese,1.1321066440369543
Jan Kuchta,1.1315067030098103
Lucas Alario,1.131489566186077
Luka Jovi?,1.1308326264318542
Luis Muriel,1.1305271323109136
Mark Uth,1.1287699913680478
Nlson Oliveira,1.125701364781635
Patryk Klimala,1.124381068123892
Haris Seferovic,1.1235843124183464
Alexis S nchez,1.1168982976973685
Fedor Smolov,1.1167693638455347
Aaron Connolly,1.1153738093009287
Aboubakar Kamara,1.1140166178567679
Lewis Grabban,1.111404840790057
Makhte Diop,1.1098059292908968
Federico Macheda,1.1083138805728585
Slavy,1.1075387609940743
Keinan Davis,1.099577257765841
Cyriel Dessers,1.092582088356488
Sebastian Andersson,1.0916604506258167
Mario Balotelli,1.0893233596082963
Davie Selke,1.0834685555696506
Sebasti n Ferreira,1.0782578705761245
Laurent Depoitre,1.0735520169460389
Roman Yaremchuk,1.0729506188613989
Yang Xu,1.0720717727142826
J,1.0701221812884938
Cenk Tosun,1.0655442645489224
Igor Jesus,1.0644179607669024
Rhian Brewster,1.0514238908816258
Zhang Yuning,1.0481510333482063
Ali Mabkhout,1.046183579227324
Michael Olunga,1.039494803331467
Jhon C¢rdoba,1.0341632289042089
Vincent Janssen,1.025426828136665
Jonatan µlvez,1.0155494751714726
Pierre-Michel Lasogga,1.0023834281973218
Abdullah Al-Hamdan,0.9839159090962113
Luiz Adriano,0.9804295059228023
